COUNTRY	SPADOC_CD	ORBITAL_TBA	ORBITAL_PAYLOAD_COUNT	ORBITAL_ROCKET_BODY_COUNT	ORBITAL_DEBRIS_COUNT	ORBITAL_TOTAL_COUNT	DECAYED_PAYLOAD_COUNT	DECAYED_ROCKET_BODY_COUNT	DECAYED_DEBRIS_COUNT	DECAYED_TOTAL_COUNT	COUNTRY_TOTAL
ARAB SATELLITE COMMUNICATIONS ORGANIZATION	AB	0	12	0	0	12	1	0	0	1	13
ASIASAT CORP	AC	0	7	0	0	7	0	0	0	0	7
ALGERIA	ALG	0	2	0	0	2	0	0	0	0	2
ARGENTINA	ARGN	0	13	0	0	13	2	0	0	2	15
AUSTRIA	ASRA	0	2	0	0	2	0	0	0	0	2
AUSTRALIA	AUS	0	13	2	0	15	2	0	0	2	17
AZERBAIJAN	AZER	0	1	0	0	1	0	0	0	0	1
BELGIUM	BEL	0	2	0	0	2	0	0	0	0	2
BELARUS	BELA	0	1	0	0	1	0	0	0	0	1
BOLIVIA	BOL	0	1	0	0	1	0	0	0	0	1
BRAZIL	BRAZ	0	15	0	0	15	0	0	0	0	15
CANADA	CA	0	41	0	5	46	1	0	2	3	49
PEOPLES REPUBLIC OF CHINA/BRAZIL	CHBZ	0	3	0	65	68	0	0	22	22	90
CHILE	CHLE	0	2	0	0	2	0	0	0	0	2
COMMONWEALTH OF INDEPENDENT STATES	CIS	0	1493	1020	3847	6360	1987	2791	10038	14816	21176
COLOMBIA	COL	0	1	0	0	1	0	0	0	0	1
CZECHOSLOVAKIA	CZCH	0	4	0	0	4	2	0	0	2	6
DENMARK	DEN	0	7	0	0	7	0	0	0	0	7
ECUADOR	ECU	0	2	0	0	2	0	0	0	0	2
EGYPT	EGYP	0	5	0	0	5	0	0	0	0	5
EUROPEAN SPACE AGENCY	ESA	0	56	7	38	101	13	7	19	39	140
EUROPEAN SPACE RESEARCH ORGANIZATION	ESRO	0	0	0	0	0	7	0	3	10	10
ESTONIA	EST	0	1	0	0	1	0	0	0	0	1
